trade_id,timestamp,trader_id,desk,instrument,quantity,price,notional,counterparty,venue,status,anomaly_type,is_flagged
TRD-VIWN-94417335,2026-04-02 09:08:47,T014,Equities,INFY,565,1597.6081,902648.58,CP_017,NSE,Settled,,False
TRD-RJGX-89788334,2026-04-02 11:42:30,T018,FX,EUR/INR,908,91.3188,82917.47,CP_006,MCX,Settled,,False
TRD-JHVM-66498921,2026-04-02 13:16:54,T011,Equities,TCS,196,3596.2793,704870.74,CP_013,MSEI,Settled,,False
TRD-WBDX-54512061,2026-04-02 14:34:43,T006,Commodities,MCX_COPPER,246,794.4421,195432.76,CP_016,NSE,Settled,,False
TRD-NCSG-94099383,2026-04-03 09:18:46,T010,Commodities,MCX_CRUDE,2100,6369.2821,13375492.41,CP_019,OTC,Cancelled,,False
TRD-HEVC-13954188,2026-04-03 09:48:42,T013,FX,GBP/INR,586,104.7892,61406.47,CP_010,NSE,Settled,,False
TRD-DHLE-41493736,2026-04-03 10:20:27,T011,Credit,HDFC_BOND,785,999.5693,784661.9,CP_009,MCX,Cancelled,,False
TRD-MWJB-56252438,2026-04-04 11:53:29,T030,Credit,RELIANCE_BOND,2026,1011.0732,2048434.3,CP_005,OTC,Settled,,False
TRD-CARD-72949492,2026-04-04 12:16:38,T026,Commodities,MCX_GOLD,492,449764.358,221284064.14,CP_010,MSEI,Cancelled,price_outlier,True
TRD-GEPR-44326893,2026-04-04 13:01:11,T009,Commodities,MCX_GOLD,376,72488.8516,27255808.2,CP_010,MCX,Settled,,False
TRD-XLDF-45379624,2026-04-04 14:14:24,T019,Equities,TCS,982,3453.197,3391039.45,CP_008,NDS-OM,Settled,,False
TRD-LWYF-89681775,2026-04-04 15:14:20,T008,Equities,RELIANCE,180,2314.7125,416648.25,CP_014,MSEI,Settled,,False
TRD-KUXZ-06488532,2026-04-04 16:04:09,T025,Rates,IN10Y,183,101.3584,18548.59,CP_008,MSEI,Settled,,False
TRD-MLKR-00579978,2026-04-05 01:56:56,T011,Credit,SBI_BOND,4220,1013.8946,4278635.21,CP_008,NSE,Settled,off_hours,True
TRD-IOVY-22490048,2026-04-05 10:08:02,T002,Rates,MIBOR,238,7.4852,1781.48,CP_010,NDS-OM,Settled,,False
TRD-SFGL-23735588,2026-04-05 10:21:10,T029,Rates,IN10Y,142,101.6629,14436.13,CP_013,BSE,Settled,,False
TRD-VEUL-03154163,2026-04-05 10:33:23,T003,Credit,SBI_BOND,586,1000.5476,586320.89,CP_017,OTC,Settled,,False
TRD-IVJQ-03599476,2026-04-05 12:37:13,T027,Equities,RELIANCE,1917,2336.2432,4478578.21,CP_008,MCX,Settled,,False
TRD-JIAB-99125338,2026-04-05 13:29:41,T001,Commodities,MCX_GOLD,145,74222.9931,10762334.0,CP_002,NDS-OM,Settled,,False
TRD-KRSA-55046075,2026-04-05 14:40:11,T011,FX,JPY/INR,331,0.5555,183.87,CP_002,NSE,Settled,duplicate_id,True
TRD-KRSA-55046075,2026-04-05 14:42:08,T011,FX,JPY/INR,364,0.5555,202.2,CP_002,NSE,Settled,duplicate_id,True
